|    dbID |               scl |
|   52766 |    -5.78712568542 |
|   53132 |     52.3010850361 |
|   54008 |     40.7514579905 |
|   54088 |     7.80197767642 |
|   54554 |    -14.7576313638 |
|   54929 |     21.2655622186 |
|   55571 |    -11.3466890453 |
|   56217 |    -12.3631556349 |
|   56423 |    -17.7982016685 |
|   56486 |     61.2280232716 |
|   57317 |     35.7637694302 |
|   57324 |     26.2229006802 |
|   57383 |      43.994031686 |
|   57676 |    -10.4086409843 |
|   57957 |    -2.11233508719 |
|   58172 |     23.3848704656 |
|   58697 |    -16.2476196003 |
|   59177 |      41.627268898 |
|   59644 |    -34.3471082631 |
|   59850 |    -15.0374188276 |
|   61001 |     26.0601644177 |
|   61062 |     22.2177962601 |
|   62620 |     28.3490053237 |
|   62907 |     31.2111579728 |
|   63007 |     32.2350436094 |
|   63081 |    -16.8332357669 |
|   63307 |    -9.74427111139 |
|   63404 |    -2.61278755654 |
|   63511 |    -13.2892820831 |
|   63621 |    -5.55690982185 |
|   64133 |    -4.49969225713 |
|   64539 |    -5.35969820852 |
|   65639 |    -34.1841783197 |
|   65793 |     34.7086920511 |
|   65869 |    -34.0317437141 |
|   66246 |    -32.6685331621 |
|   66260 |     36.7115007838 |
|   66311 |    -8.88493852555 |
|   66533 |     31.3411924769 |
|   66552 |     21.5158066553 |
|   66572 |     55.1109827562 |
|   67239 |    -7.35784528491 |
|   67243 |     52.7234368416 |
|   68390 |    -7.46384723479 |
|   68411 |     13.1783906646 |
|   68557 |    -7.57009266232 |
|   68572 |     29.1904472776 |
|   68664 |     33.2130871086 |
|   68983 |    -1.94033286071 |
|   69026 |     22.0401155885 |
|   69061 |     25.4310106797 |
|   69091 |    -17.1505514639 |
|   69726 |     31.4214629313 |
|   69758 |    -6.36036805559 |
|   69766 |      13.326000348 |
|   69839 |    -11.2635227116 |
|   70553 |    -1.04279095781 |
|   70861 |    -14.4489550187 |
|   71013 |    -1.97203790314 |
|   71115 |     1.16296795256 |
|   71209 |     -12.609193295 |
|   71555 |     -18.166254229 |
|   72173 |     25.5552812266 |
|   72303 |     3.84004694166 |
|   72452 |    -7.27590545986 |
|   72465 |     20.2904443057 |
|   72837 |    -33.9741833458 |
|   72931 |     27.5136497488 |
|   72937 |     22.3659666903 |
|   73403 |    -3.08728313121 |
|   73692 |       22.91994733 |
|   74173 |     26.6276978924 |
|   74302 |    -35.2794215771 |
|   74740 |     48.5686672191 |
|   75080 |   -0.855147351608 |
|   75911 |    -17.4314879148 |
|   75987 |    -11.1597895763 |
|   76303 |    -5.23589165658 |
|   76601 |      52.398579124 |
|   77219 |    -32.4519825657 |
|   77441 |    -33.2625562054 |
|   77601 |    -3.07662937336 |
|   78206 |     40.7774889505 |
|   78621 |   -0.772703207401 |
|   78713 |     55.0301670823 |
|   79006 |     27.1840032547 |
|   79566 |    -8.62589178649 |
|   79609 |    -4.19763332786 |
|   79963 |   -0.498566356794 |
|   80524 |    -15.2798878642 |
|   80641 |     33.2836373765 |
|   81005 |      36.532566178 |
|   81061 |    -10.1122469432 |
|   81140 |     20.8702903791 |
|   82001 |    -4.44977638227 |
|   82447 |     28.0098459257 |
|   82552 |    -33.1884509707 |
|   82616 |    -11.3373553625 |
|   82957 |     29.7646749376 |
|   83042 |    -10.0194985374 |
|   83252 |     44.4487023067 |
|   83360 |     24.7452067032 |
|   83436 |     28.6359012899 |
|   83896 |     30.6027176324 |
|   84284 |     96.8590328552 |
|   84414 |     16.1893164965 |
|   84783 |      30.180066971 |
|   85167 |     67.8694556104 |
|   85843 |     33.3574391436 |
|   85979 |     21.5100267816 |
|   86168 |     38.8456643523 |
|   86234 |     30.6903787999 |
|   86582 |     31.9377138824 |
|   87638 |     36.6817446781 |
|   87740 |     25.0468164503 |
|   87776 |     4.10249105117 |
|   88077 |     32.2291478707 |
|   88302 |     31.9358761689 |
|   88455 |    -13.1586349302 |
|   88587 |     -15.800849429 |
|   88738 |    -7.67239176096 |
|   88853 |     26.7108780611 |
|   89008 |    -1.55881760345 |
|   89200 |    -2.37502878341 |
|   90848 |    -3.46929438578 |
|   90959 |    -15.1057896855 |
|   91361 |    -16.9916211478 |
|   91514 |     38.9156177833 |
|   91788 |     -35.802421857 |
|   91794 |    -11.4326641442 |
|   92171 |   -0.754004109571 |
|   92315 |    -15.9980117811 |
|   92483 |    -35.4050990721 |
|   92997 |      40.134373924 |
|   93235 |    -15.8012752719 |
|   93336 |    -12.7075728499 |
|   93960 |     23.7239225031 |
|   94538 |     38.9191787052 |
|   95334 |    -2.78175810301 |
|   96715 |    -3.19018758177 |
|   97530 |    -6.12266703244 |
|   97612 |     35.5502844105 |
|   97938 |     -8.9765997426 |
|   99212 |    -3.57078594789 |
|   99273 |    -11.3736617421 |
|   99516 |    -1.26348227219 |
|   99669 |     19.3490261442 |
|  100286 |     41.7829416935 |
|  100520 |      37.818564514 |
|  100539 |     49.1321067485 |
|  100759 |     127.254374314 |
|  100801 |     26.4708552517 |
|  101129 |     26.6234342379 |
|  101690 |    -1.60411896954 |
|  101718 |     56.8467463173 |
|  101818 |    -9.55737220804 |
|  101965 |    -4.87046584734 |
|  102187 |    -37.8710670415 |
|  103425 |     39.0307313224 |
|  103455 |     15.6580744483 |
|  103646 |     -8.2474032468 |
|  103913 |    -14.9885208072 |
|  103979 |    -33.1748858764 |
|  104193 |    -3.14255916883 |
|  104392 |     24.4997927213 |
|  104744 |    -8.04404525676 |
|  104962 |     23.5681841649 |
|  105857 |     61.9069124429 |
|  106285 |     44.3252495469 |
|  106325 |    -10.9817817635 |
|  106501 |    -10.6322310052 |
|  106565 |     35.7306790133 |
|  106691 |     28.3473415373 |
|  106772 |     -7.4975997402 |
|  106913 |    -12.0341261218 |
|  107313 |     24.0118508413 |
|  107687 |    -14.4884770981 |
|  107867 |    -3.25222728335 |
|  108155 |    -15.7432219594 |
|  108734 |     27.3593697751 |
|  109176 |     2.22719946166 |
|  109511 |     2.71688119199 |
|  109616 |    -7.22532709007 |
|  109828 |    -8.05033493717 |
|  110814 |     28.4192206369 |
|  111226 |     25.7964371703 |
|  111304 |    -13.9035442011 |
|  111332 |     -14.235998696 |
|  111809 |    -4.92781048321 |
|  111817 |    -5.23813204074 |
|  112497 |    -6.55814318075 |
|  113067 |    -6.16138416109 |
|  113139 |     31.9333138111 |
|  113426 |     44.9785531187 |
|  113577 |    -4.90441983665 |
|  113761 |    -33.5017029223 |
|  114012 |     44.6962218476 |
|  114109 |     33.2522536891 |
|  114191 |    -1.07426426891 |
|  114499 |      2.8490895444 |
|  114502 |     41.8978262632 |
|  114724 |      23.052271827 |
|  114767 |    -2.99344081342 |
|  114880 |     19.0300628905 |
|  115002 |    -6.14023123407 |
|  115016 |     47.0704863049 |
|  117163 |    -16.9067588481 |
|  117411 |     30.7940203717 |
|  117460 |     30.0218075204 |
|  118148 |    -4.26156067194 |
|  118205 |     18.4357483602 |
|  118616 |     14.0369609258 |
|  118629 |     16.6779154895 |
|  118721 |     28.0102645665 |
|  119185 |         27.325893 |
|  119730 |    -1.36673543598 |
|  119992 |     32.5995603651 |
|  120082 |     17.6506911128 |
|  120817 |     24.0894162286 |
|  121008 |    -7.12102230898 |
|  121143 |    -32.1286822899 |
|  121749 |     17.0658341103 |
|  122080 |     56.7918303208 |
|  122562 |    -11.7187726678 |
|  122682 |     31.1881621035 |
|  123137 |     29.0289377919 |
|  123189 |     35.7275874515 |
|  123356 |    -7.49548260679 |
|  123709 |    -9.85373587372 |
|  123909 |      23.619922729 |
|  124689 |    -15.2797392643 |
|  125164 |     49.7172251028 |
|  125207 |       -34.6625205 |
|  125388 |    -11.4321117154 |
|  125422 |     34.5837248983 |
|  126066 |    -8.65742419464 |
|  126217 |    -3.65206886395 |
|  126424 |     15.8918537054 |
|  126986 |     42.7434616778 |
|  127248 |     23.4574380552 |
|  127330 |     27.9105279341 |
|  127549 |    -11.0823546637 |
|  127950 |     29.5589457624 |
|  128178 |      23.357107712 |
|  128761 |     28.8514190537 |
|  128895 |     23.5554092413 |
|  129274 |    -8.16843270435 |
|  129550 |    -5.39387934502 |
|  129563 |    -14.9862911595 |
|  129859 |    -13.0963851319 |
|  129886 |      31.414340178 |
|  130405 |     51.3191012266 |
|  130457 |    -5.10681776846 |
|  130965 |     51.5757512621 |
|  131141 |     37.4780821482 |
|  131196 |       23.43361937 |
|  131280 |    -15.0407165837 |
|  131569 |     30.9999325961 |
|  131901 |    -34.6626144393 |
|  132216 |     49.3643144368 |
|  132269 |    -12.7586094054 |
|  133277 |      27.202763012 |
|  133470 |     62.4308412028 |
|  133537 |     55.2171371013 |
|  133669 |     19.0930718255 |
|  133735 |     28.0222698224 |
|  133895 |    -5.38827019267 |
|  134148 |     24.0883074441 |
|  134883 |     50.0292391569 |
|  134930 |    -13.9981608185 |
|  135017 |      23.567574903 |
|  135101 |    -3.08406562886 |
|  135413 |      29.471897319 |
|  135607 |    -1.52050894797 |
|  135718 |    -32.0266440754 |
|  135974 |     44.4452006402 |
|  136734 |     58.3403115186 |
|  136787 |      25.638372426 |
|  136829 |     -7.7848755048 |
|  137090 |     22.0581163801 |
|  137822 |     33.0555647828 |
|  138158 |    -33.9855958155 |
|  138442 |    -33.6159645996 |
|  138639 |     29.0837930275 |
|  138860 |     26.5661526222 |
|  139265 |    -6.85588183408 |
|  139750 |    -34.8296369315 |
|  139949 |     36.0634608243 |
|  140339 |      29.438857246 |
|  140509 |     35.7261290184 |
|  140558 |     22.1590765937 |
|  141146 |     17.5210884407 |
|  141616 |    -8.66321646649 |
|  141827 |    -4.97393447097 |
|  141918 |     5.65559101646 |
|  141979 |     43.2449060253 |
|  142088 |     16.6141933201 |
|  142102 |      37.029960888 |
|  142217 |    -1.67139046038 |
|  142626 |    -5.34786222346 |
|  142773 |      20.551446958 |
|  142808 |     37.0992390403 |
|  142916 |    -18.2618267936 |
|  143320 |     22.1358693853 |
|  143929 |     13.3074559379 |
|  144096 |     12.8120260269 |
|  144325 |     33.3798954148 |
|  144426 |     36.9488693906 |
|  144562 |      9.7430721845 |
|  145336 |    -15.4987494987 |
|  146150 |    -1.69930607995 |
|  146771 |    -14.4251120942 |
|  146776 |     28.6457482383 |
|  147204 |     23.3894471282 |
|  147296 |    -10.0417921406 |
|  147308 |    -1.29119821358 |
|  147934 |    -4.60938023054 |
|  149455 |    -9.24850751607 |
|  149625 |    -33.6246561382 |
|  150008 |    -18.2388613955 |
|  150691 |     23.0879504294 |
|  150782 |     24.6664487943 |
|  151178 |    -8.24229304703 |
|  151329 |     26.9504751941 |
|  151452 |    -7.41807376658 |
|  151724 |    0.590082935309 |
|  151779 |    -10.3265719558 |
|  152007 |  -0.0322592619423 |
|  152804 |    -8.03173791447 |
|  152872 |     24.2298555325 |
|  153226 |     43.3141880204 |
|  153691 |     20.3087516671 |
|  153834 |      20.714547014 |
|  154240 |    -33.6123141882 |
|  154943 |     23.6775193132 |
|  155630 |     3.50934900106 |
|  156113 |     20.0753313521 |
|  156456 |    -16.9144668596 |
|  158486 |    -2.02841236727 |
|  158833 |    -18.0911514849 |
|  158878 |     50.4655697789 |
|  158909 |    -34.1641876205 |
|  159479 |     30.5484942204 |
|  159606 |    -2.20995867567 |
|  160498 |     -16.522701589 |
|  160576 |     33.3794723409 |
|  162009 |    -33.2897465546 |
|  162248 |    -3.41372020533 |
|  162282 |    -14.7693051359 |
|  162770 |     42.9376107811 |
|  162918 |    -10.9325435655 |
|  162959 |     9.74904196285 |
|  163272 |     59.7209481729 |
|  163351 |     20.6887275886 |
|  163829 |     22.0570239468 |
|  164038 |    -9.00885469752 |
|  164163 |     21.6823501836 |
|  164724 |     -8.6201163901 |
|  164998 |    -12.8769285395 |
|  165369 |      93.565360192 |
|  165605 |     46.3431508967 |
|  165681 |     48.6477234629 |
|  165712 |     21.9450468558 |
|  165775 |     -9.4143129666 |
|  166510 |    -4.85136125946 |
|  166800 |    -16.9266449174 |
|  167093 |    -16.5230508718 |
|  167160 |     22.6597162099 |
|  167239 |     36.0680011041 |
|  167309 |     74.3171591133 |
|  167566 |    -12.2313107584 |
|  167769 |     33.5277788121 |
|  167784 |      26.647126339 |
|  168708 |     24.6946500597 |
|  169017 |     28.2811400972 |
|  169073 |    -8.70577500132 |
|  169517 |     14.5386937077 |
|  169554 |      37.518284568 |
|  169594 |    -6.23520916768 |
|  169735 |     58.3940888455 |
|  169774 |    -34.3887281745 |
|  170184 |    -15.4889410152 |
|  170285 |      51.646492293 |
|  170335 |     30.0660666106 |
|  170656 |    -16.2000173324 |
|  170802 |    -6.32238997227 |
|  170983 |     15.9760317052 |
|  172708 |     20.5705251511 |
|  174258 |    -11.7913451841 |
|  174278 |     9.16727173421 |
|  174561 |    -16.6493205443 |
|  174564 |     25.3403318082 |
|  174863 |     38.4633747833 |
|  175731 |    -9.21816745352 |
|  176421 |    -15.0181378355 |
|  176560 |    -16.4679431813 |
|  176903 |    -12.6880810796 |
|  177139 |    -2.24690593358 |
|  177186 |    -8.96103269451 |
|  177575 |     12.6691451675 |
|  177734 |     19.0669907549 |
|  178598 |    -11.5103595043 |
|  178667 |    -14.5493754733 |
|  178984 |     19.4128911151 |
|  178987 |     35.3650365337 |
|  179173 |    -10.4527633933 |
|  179533 |      13.614568445 |
|  179815 |    0.553554290665 |
|  179820 |     45.5049493676 |
|  179963 |     31.6918525274 |
|  180420 |     30.7181938102 |
|  180566 |    -7.62705376269 |
|  181197 |     27.7981162407 |
|  181404 |     11.7385745283 |
|  182602 |    -17.6292816919 |
|  182851 |       28.87403407 |
|  182924 |    -14.9631170379 |
|  183043 |     18.9519051567 |
|  183566 |    -9.20456566331 |
|  184691 |    -12.4692130075 |
|  185254 |    -8.73672777719 |
|  185590 |     8.89556592978 |
|  185674 |     28.6021892339 |
|  186330 |    -13.4027002997 |
|  186457 |     21.1293816705 |
|  187592 |     -10.065298179 |
|  187596 |    -31.5542882834 |
|  187789 |    -32.7034140316 |
|  187803 |     29.3880969916 |
|  187872 |     26.4226947656 |
|  188070 |     20.0477200674 |
|  188228 |      23.507604067 |
|  188375 |    -4.64904022902 |
|  188702 |      4.2778161589 |
|  188869 |     35.5761561474 |
|  189045 |     26.2320736616 |
|  189445 |    -16.0161725807 |
|  189651 |     24.4181709253 |
|  189743 |      16.197295319 |
|  189831 |     35.1881736433 |
|  190417 |    -10.6386379364 |
|  190682 |     52.5642847098 |
|  190867 |    -5.59213979896 |
|  191271 |     24.4881667612 |
|  191564 |     28.5155432341 |
|  191596 |    -16.9141455839 |
|  191912 |    -16.3917268687 |
|  193517 |     38.3841396063 |
|  193754 |    -3.96667717071 |
|  193801 |     37.0585879355 |
|  194091 |    -8.80724753243 |
|  194265 |     32.4057281194 |
|  194459 |     -1.9698703945 |
|  194483 |     26.8195823116 |
|  194621 |     13.9412530662 |
|  194722 |    -15.5382153175 |
|  195006 |    -7.06986634897 |
|  195071 |    -6.26223133931 |
|  195858 |    -7.76838190585 |
|  196828 |    -8.64779208675 |
|  196857 |    -7.93627737602 |
|  196961 |     42.3176822437 |
|  197071 |     25.8101694604 |
|  197375 |     1.76191370992 |
|  197999 |    -4.29065819227 |
|  198014 |     34.9123238476 |
|  198320 |    -61.4748513758 |
|  198446 |    -5.16399889846 |
|  198523 |    -6.90440238437 |
|  198665 |    -7.53392528332 |
|  199046 |     -7.4846512981 |
|  199216 |    -8.80675385416 |
|  199429 |    -14.6153356612 |
|  199886 |    -17.4944306299 |
|  200193 |    -35.4931640177 |
|  201005 |    -6.65359436956 |
|  201270 |     -12.291820027 |
|  201275 |     34.0893162737 |
|  201523 |     21.2883763303 |
|  201753 |    -34.5170253864 |
|  201826 |     27.4801184184 |
|  201924 |     25.3108672689 |
|  202909 |    -9.17763092044 |
|  203074 |     34.6627303442 |
|  203077 |     27.9719245902 |
|  203408 |    -36.5666708637 |
|  203747 |     9.42439976944 |
|  203782 |    -4.51881430029 |
|  203900 |     28.1843317251 |
|  203908 |     21.4859909516 |
|  204838 |     5.08093682515 |
|  204960 |    -14.4537833131 |
|  205036 |     43.2427512368 |
|  205295 |      16.690650996 |
|  205409 |     43.7201212504 |
|  205465 |     15.6498220158 |
|  205556 |     54.1170678882 |
|  205876 |     22.8616998032 |
|  206017 |    -11.9834594343 |
|  206096 |    -2.55896516861 |
|  206300 |     16.0056948962 |
|  206979 |     17.4917212999 |
|  207112 |     29.5353663525 |
|  207340 |    -18.8607808494 |
|  207658 |    -15.6097236744 |
|  207982 |     14.8979405783 |
|  208000 |     -15.397224768 |
|  208035 |     39.4700261011 |
|  208155 |     7.89661951681 |
|  208238 |     27.8990869073 |
|  208464 |      33.603849673 |
|  208485 |    -2.19383700598 |
|  209002 |      -10.80447014 |
|  209043 |     14.5385191207 |
|  209339 |    -17.2368044263 |
|  209639 |    -16.1776887955 |
|  209865 |    -6.19698237079 |
|  210004 |    -3.01565337525 |
|  210415 |    -16.0897566993 |
|  210547 |     18.8239630236 |
|  210679 |    -35.3404068757 |
|  210883 |     49.9926999279 |
|  210909 |    -8.66734841061 |
|  211738 |      6.9052035575 |
|  211907 |     -15.352700154 |
|  211995 |    -5.60770505845 |
|  212178 |    -9.02452994485 |
|  212346 |    -14.3007214196 |
|  212428 |     -14.745358421 |
|  212504 |    -16.4820636449 |
|  212578 |      26.518314049 |
|  212962 |      23.846169291 |
|  212999 |     37.1369406054 |
|  213538 |    -13.6617878656 |
|  213761 |    -34.1678898339 |
|  213820 |     51.6779160861 |
|  214025 |     19.4938140233 |
|  214039 |     10.8939996301 |
|  214484 |    -14.2317655465 |
|  215913 |     27.7302044942 |
|  216039 |      24.804569724 |
|  216183 |    -10.2583628956 |
|  216300 |    -6.76291783679 |
|  216689 |    -17.5733054097 |
|  216876 |     15.6702842157 |
|  217302 |    -15.6397391543 |
|  217427 |     24.9174287163 |
|  219249 |    -14.5644977709 |
|  219445 |     41.5462723016 |
|  219531 |      23.060901726 |
|  219647 |    -10.2553458019 |
|  219953 |    -9.51014693506 |
|  220111 |        26.0432016 |
|  220391 |    -11.8170433386 |
|  220639 |    -7.06657230964 |
|  220661 |    -11.5756099179 |
|  220933 |     28.2231696648 |
|  221006 |     4.52386180933 |
|  221567 |    -32.8602924643 |
|  221975 |     -14.882992956 |
|  222099 |    -14.0847001614 |
|  222220 |     18.4236402421 |
|  222286 |      38.017590709 |
|  223324 |    -15.1192926497 |
|  223561 |    -6.83667273045 |
|  223661 |     27.7472286811 |
|  223763 |     56.7208208025 |
|  223800 |     -16.661780757 |
|  224793 |    -8.95870193148 |
|  224886 |    -15.5011906666 |
|  225048 |     57.5564673982 |
|  225080 |     23.3032878972 |
|  225538 |     41.9692739512 |
|  226040 |     11.3437196837 |
|  226065 |     35.9675334479 |
|  226283 |     27.1444509708 |
|  226352 |     37.3542772827 |
|  227097 |    0.877482340843 |
|  227300 |      25.750780723 |
|  227585 |    -2.91072558683 |
|  227805 |     34.8585130809 |
|  227990 |     4.58947237525 |
|  228047 |     43.6017848329 |
|  228429 |     -31.139018663 |
|  228538 |     27.9194120226 |
|  228542 |     46.1743535307 |
|  228960 |    -33.9161904023 |
|  229027 |   -0.459745451472 |
|  229421 |     48.8008417909 |
|  230106 |    -33.9208186894 |
|  230254 |     25.7655329032 |
|  230288 |    -14.0169164804 |
|  231017 |     -6.4305344066 |
|  231214 |     9.66016096791 |
|  231789 |     -13.334551379 |
|  231834 |      27.386507731 |
|  232883 |   -0.743605171757 |
|  233288 |     27.7885343884 |
|  234198 |    -15.7852466843 |
|  234507 |     41.1181027986 |
|  234686 |    -16.3016022071 |
|  235286 |     12.8516376876 |
|  236156 |    -16.5693693814 |
|  237094 |     3.68820864953 |
|  237546 |    -8.22033393443 |
|  237710 |    -34.9431103259 |
|  237795 |      25.013500973 |
|  239131 |    -4.89502096384 |
|  240447 |      16.304240275 |
|  240884 |     32.1551643249 |
|  241500 |     11.6710349369 |
|  241736 |     14.0013339472 |
|  241969 |    -10.0636408274 |
|  241971 |    -8.24331411863 |
|  242071 |     26.2798958502 |
|  242232 |    -34.0863953745 |
|  242312 |     38.3425260489 |
|  242549 |    -16.4722046132 |
|  242661 |      23.615911088 |
|  243403 |    -14.7116494534 |
|  243559 |     22.7077730947 |
|  243620 |     24.1390770446 |
|  243708 |     33.1089727194 |
|  244689 |    -7.75343148265 |
|  244987 |     -2.1308336565 |
|  245000 |    -34.0549025279 |
|  245192 |     -14.108337871 |
|  245283 |     -9.0275443178 |
|  245637 |     22.6460107316 |
|  246074 |     60.4213219541 |
|  246606 |     66.5799572564 |
|  246651 |    -15.8137804724 |
|  246849 |    -14.9032956496 |
|  247145 |     46.3581544245 |
|  247562 |    -5.57625676029 |
|  247700 |     23.1184525114 |
|  247841 |     15.4091126856 |
|  248292 |     22.4712705231 |
|  248322 |     5.04836252719 |
|  248403 |      26.542527233 |
|  248519 |     65.7437349837 |
|  249058 |      -7.309828938 |
|  249076 |     18.6649934422 |
|  249227 |    -18.7480222023 |
|  249322 |    -70.5216083787 |
|  249495 |    -30.9140399562 |
|  249775 |    -5.41618976888 |
|  250482 |    -5.16849088393 |
|  250750 |    -15.6688035359 |
|  251135 |    -34.1323157788 |
|  251771 |     29.6239985865 |
|  252338 |    -6.12201798547 |
|  252649 |    -16.9991179547 |
|  253302 |     43.4017034148 |
|  253364 |    -34.2197259304 |
|  253378 |     -16.661136126 |
|  253811 |    -2.90074540492 |
|  253839 |     -12.812968669 |
|  253966 |     50.9404388374 |
|  254227 |    -30.0702826962 |
|  254560 |     59.5591303023 |
|  255196 |    -13.9068035924 |
|  255755 |     22.2474776844 |
|  255925 |     1.34843898195 |
|  256156 |    -10.7118475042 |
|  256205 |     29.7395639955 |
|  256609 |     16.3301970919 |
|  256858 |     12.6838713849 |
|  256926 |     37.5171398975 |
|  256983 |     65.4921917624 |
|  257025 |    -6.30691403107 |
|  257304 |     32.7432875801 |
|  257732 |    -32.8524440644 |
|  257776 |     39.7032571547 |
|  257820 |    -8.12190381668 |
|  257870 |    -6.13404160651 |
|  258494 |     16.0354138341 |
|  258650 |     27.9288504236 |
|  258685 |    -4.06374390367 |
|  258746 |    -16.6726273159 |
|  259790 |    -8.20631832003 |
|  259966 |    -7.58132356971 |
|  260132 |    -15.1442692177 |
